18
18
2
(-0.00751386,-9.72139e-06)
(-0.00794171,-0.000144875)
(-0.127018,0.113452)
(0.22674,0.0236824)
(0.00547751,1.55491)
(-0.0108097,1.57477)
(-0.00546809,-0.00408633)
(0.0013894,0.000394329)
(0.00651324,0.00063887)
(-0.00825186,1.56965)
(0.00388783,1.58637)
(0.00429215,-0.00546805)
(0.00780962,0.000737951)
(-0.00103242,-0.00266814)
(-0.00423422,0.00187826)
(0.00302827,-0.00350535)
(-0.00834152,0.000213574)
(0.00746535,0.00391956)
(-0.00295949,0.00277006)
(0.000430202,-0.000410028)
(-0.00264318,-0.00181031)
(0.00383217,0.00422911)
(-0.000147846,0.785367)
(-4.12776e-05,0.785616)
(-4.58079e-05,0.785441)
(0.000178339,-1.59913e-05)
(5.65262e-05,-0.000201798)
(0.000155204,-1.84979e-05)
(6.51511e-05,-0.000109564)
(0.000214619,-0.00010647)
(9.45275e-05,4.80858e-05)
(-0.000336405,1.31258e-05)
(-6.35636e-05,0.000199882)
(7.04956e-05,9.86369e-05)
(-2.32909e-05,2.24284e-05)
(4.20339e-05,0.785304)
(8.43228e-05,9.12983e-05)
(-0.000147718,-5.33128e-05)
(-7.96751e-05,-2.183e-05)
(6.44266e-05,-0.000140712)
(0.00382786,0.00144351)
(0.000153972,-0.00170572)
(0.000133337,-0.00189547)
(0.00300167,0.00248701)
(-0.000319836,-0.00155903)
(0.00155856,-0.005174)
(-0.00695016,0.00701776)
(-0.000346989,0.00226273)
(0.00695514,-0.0103492)
(-0.00251829,4.4922e-05)
(0.000653853,-0.000713507)
(0.00120053,0.000363745)
(-0.00205129,0.00191308)
(0.0070781,-0.00123651)
(0.00221689,0.00384615)
(-0.00629554,0.00359129)
(-0.00807322,0.00259303)
(-0.00388703,0.00154068)
(0.00522462,-0.0153267)
(0.00272003,-0.00354055)
(-0.00487151,0.0136663)
(-0.000582984,0.00346404)
(-0.000729737,0.00361252)
(0.000269626,-0.00162375)
(-4.13186e-05,-0.00305473)
(-0.00623383,0.0032263)
(0.0084927,-0.000447526)
(0.00760836,-0.00187101)
(-0.00384562,0.00193843)
(0.00146927,-0.00335704)
(0.00241426,0.00250514)
(-0.00193124,3.92998e-05)
(-0.00263221,-0.00535039)
(-0.00185457,0.00139033)
(-0.00222059,0.00114224)
(0.000253947,-0.00026099)
(0.000948432,-9.37176e-05)
(0.000486404,-0.00245619)
(0.00475179,-0.000275476)
(0.000626322,0.00455072)
(-0.000287597,-9.92767e-05)
(-0.00800772,-0.000427965)
(-0.00892572,0.0021688)
(-0.00829128,-0.000421132)
(-0.00912442,0.00242661)
(-0.000162158,4.46964e-05)
(0.000708714,0.000487005)
(7.92696e-07,3.54248e-05)
(-0.000927496,-0.000353212)
(-0.0002642,0.000131263)
(-7.12563e-05,0.000188235)
(0.000170104,1.33625e-05)
(0.000126099,-0.000308859)
(8.62103e-05,0.000873198)
(0.000285214,0.000861905)
(8.11389e-05,-0.000604942)
(9.8279e-05,-0.00062361)
(-0.000427821,8.04574e-05)
(0.00030302,-0.000288956)
(0.000749034,-0.0002514)
(-0.000176624,0.000230693)
(0.000116569,4.87057e-05)
(0.000215674,0.000125165)
(6.97699e-05,-0.000127832)
(-0.000133308,-7.35424e-05)
(0.000193725,0.000199633)
(3.87811e-05,-1.16793e-05)
(0.000111954,0.000170733)
(0.000250652,0.000461703)
(0.000628162,-0.000173093)
(0.00048136,5.16924e-05)
(-0.000356981,-3.95097e-05)
(0.000108309,-0.000196963)
(0.000128655,1.33881e-05)
(0.000504893,5.81778e-05)
(0.000532628,-4.31126e-05)
(0.117334,0.00589965)
(-0.184178,-0.000576008)
(0.0275782,0.149093)
(0.224384,-0.0820984)
(-0.162597,0.126428)
(0.0163947,0.0642365)
(0.214526,0.0196316)
(-0.183929,0.0456874)
(0.00524856,0.118385)
(0.208967,-0.0200379)
(0.103296,0.0105278)
(-0.0428272,-0.0021793)
(-0.0349812,-0.00770141)
(0.0136627,-0.0249536)
(-0.0247935,0.0178045)
(-0.0227309,0.0143875)
(-0.0156517,0.011396)
(-0.0134527,-0.00729147)
(-0.0105111,-0.00354709)
(0.0144034,0.00399034)
(0.109534,0.00469154)
(0.0325609,0.167876)
(0.0770383,0.137907)
(0.112762,0.117573)
(-0.044714,-0.162648)
(-0.0444256,0.24903)
(-0.0459327,-0.0883922)
(-0.00283059,0.00276839)
(0.0232237,0.000286604)
(-0.0254869,-0.0030299)
(-0.0291498,-0.0045859)
(-0.0217946,-0.0146786)
(-0.0194859,-0.0158937)
(2.40733e-05,0.000159853)
(-0.000814695,0.000265357)
(0.000857187,-0.000455425)
(0.00233831,-0.000265634)
(-0.00173407,-0.00205016)
(0.00217169,-0.00236737)
(-0.0577283,0.00108077)
(-0.0983196,0.14467)
